leaf_rank,frontier_rank,leaf_type,target_leaves,node_id,title,abstract,year,journal,source_title,doi,cited_by,has_article_metadata,leaf_connection_score,sap_rank,internal_indegree,internal_outdegree,has_title_abstract
22,,sap_leaf,100,"TIAN HY, 2025, J COMPETITIVENESS",DATA-DRIVEN DISRUPTIVE COMPETITIVENESS: EXPLORING THE ROLE OF BIG DATA ANALYTICS CAPABILITY AND ENTREPRENEURIAL MARKETING IN DISRUPTIVE INNOVATION,"BIG DATA ANALYTICS CAPABILITY HAS GARNERED SIGNIFICANT ATTENTION IN BOTH ACADEMIC AND MANAGERIAL CIRCLES AS A MAJOR DRIVER OF INNOVATION-DRIVEN COMPETITIVE ADVANTAGE. HOWEVER, THE EXISTING LITERATURE ON THE BDAC-INNOVATION RELATIONSHIP IS STILL INCONCLUSIVE, WITH INDUSTRY REPORTS HIGHLIGHTING THAT MANY FIRMS STRUGGLE TO DERIVE SIGNIFICANT VALUE FROM IT. ROOTED IN RESOURCE-BASED THEORY AND DYNAMIC CAPABILITIES, THIS STUDY EXAMINES THE ROLE OF BIG DATA ANALYTICS CAPABILITY IN DISRUPTIVE INNOVATION, CONSIDERING THE MEDIATION OF ENTREPRENEURIAL MARKETING, A STRATEGIC ORIENTATION REPRESENTING THE INTERFACE OF ENTREPRENEURSHIP AND MARKETING. THE PROPOSED RELATIONSHIPS ARE VALIDATED THROUGH THE ANALYSIS OF 216 MANUFACTURERS IN PAKISTAN USING PARTIAL LEAST SQUARES-BASED STRUCTURAL EQUATION MODELING. THE RESULTS REVEAL THAT BIG DATA ANALYTICS CAPABILITY POSITIVELY INFLUENCES BOTH ENTREPRENEURIAL MARKETING AND DISRUPTIVE INNOVATION, WHILE ENTREPRENEURIAL MARKETING ALSO POSITIVELY INFLUENCES DISRUPTIVE INNOVATION. MOREOVER, ENTREPRENEURIAL MARKETING FULLY MEDIATES THE RELATIONSHIP BETWEEN BIG DATA ANALYTICS CAPABILITY AND DISRUPTIVE INNOVATION. THESE FINDINGS HAVE SIGNIFICANT IMPLICATIONS FOR BOTH THEORY AND PRACTICE.",2025.0,JOURNAL OF COMPETITIVENESS,J COMPETITIVENESS,10.7441/joc.2025.01.12,2.0,True,15242,233605618,0,29,
23,,sap_leaf,100,"SARFRAZ M, 2023, IND TEXTILA",THE EFFECT OF ENTREPRENEURS' PERSONALITY ON ENTREPRENEURIAL MARKETING IN TEXTILE SECTOR: THE MEDIATING ROLE OF SELF-EFFICACY,"THE STUDY OBJECTIVE IS TO ANALYSE THE EFFECT OF BIG-FIVE ENTREPRENEURS' PERSONALITY TRAITS ON ENTREPRENEURIAL MARKETING WHILE CONSIDERING THE MEDIATING ROLE OF SELF-EFFICACY. DATA WERE COLLECTED THROUGH A STRUCTURED QUESTIONNAIRE; A STUDY OF 199 USABLE QUESTIONNAIRES OUT OF 290 WAS CARRIED OUT AMONG YOUNG ENTREPRENEURS. STRUCTURAL EQUATION MODELLING WAS USED TO TEST THE STUDY HYPOTHESIS. THE RESULTS SHOW A SIGNIFICANT RELATIONSHIP BETWEEN PERSONALITY TRAITS AND ENTREPRENEURIAL MARKETING. OPENNESS, EXTROVERSION, AND AGREEABLENESS PERSONALITY TRAITS ARE POSITIVELY LINKED WITH ENTREPRENEURIAL MARKETING. THE FINDINGS ALSO SHOW A POSITIVE ASSOCIATION BETWEEN SELF-EFFICACY AND ENTREPRENEURIAL MARKETING. THE CURRENT STUDY CONTRIBUTES TO THE LITERATURE BY ANALYSING AN ENTREPRENEUR'S PERSONALITY CHARACTERISTICS IN ENTREPRENEURIAL MARKETING.",2023.0,INDUSTRIA TEXTILA,IND TEXTILA,10.35530/IT.074.02.202179,5.0,True,14747,218717480,0,39,
24,,sap_leaf,100,"ROY J, 2025, ARCH TECH SCI",ENTREPRENEURIAL MARKETING AND INNOVATION CAPABILITIES IN HIGH TECHNOLOGY STARTUPS IN EMERGING ECONOMIES,"EMERGING ECONOMIES HAVE A DYNAMIC AND CHALLENGING BUSINESS ENVIRONMENT, WHICH REQUIRES ENTREPRENEURIAL MARKETING AND INNOVATION CAPABILITIES OF THE HIGH-TECH STARTUPS. SUCH STARTUPS ARE USUALLY FACED WITH ISSUES OF LACK OF RESOURCES, REGULATION AND LACK OF PROPER INFRASTRUCTURE. IN THIS REGARD, IT IS IMPORTANT TO COMBINE ENTREPRENEURIAL MARKETING PRACTICES, WHICH INVOLVE RECOGNITION OF OPPORTUNITIES, SENSING OF THE MARKET, INTERACTION WITH CUSTOMERS, AND RISK-TAKING, WITH INNOVATION COMPETENCIES. STARTUPS ARE ABLE TO INTRODUCE NEW SERVICES, PRODUCTS AND SOLUTIONS USING INNOVATION CAPABILITIES, WHICH INCLUDE TECHNOLOGICAL DEVELOPMENT, RESEARCH AND DEVELOPMENT (R&D), KNOWLEDGE MANAGEMENT AND ADAPTIVE LEARNING PROCESSES TO CREATE A COMPETITIVE ADVANTAGE IN THE LONG TERM. THIS PAPER WILL SEEK TO INVESTIGATE THE CONNECTION BETWEEN ENTREPRENEURIAL MARKETING AND INNOVATION CAPABILITIES, HOW THE TWO ELEMENTS CAN BE USED TO MOTIVATE THE PERFORMANCE OF THE HIGH-TECH STARTUPS IN THE EMERGING MARKETS. THE STUDY IS FOUNDED UPON QUANTITATIVE AND QUALITATIVE DATA GATHERING AMONG HIGH-TECH STARTUPS FOUNDERS, CEOS, AND KEY MANAGERS OF 150 STARTUPS LOCATED IN DIFFERENT EMERGING ECONOMIES. THERE WAS THE COLLECTION OF QUANTITATIVE INFORMATION IN THE FORM OF LIKERT SCALE SURVEYS WHICH MEASURED MARKETING PRACTICES IN ENTREPRENEURSHIP, INNOVATION CAPABILITIES AND EXTERNAL INFLUENCES OF GOVERNMENT SUPPORT AND EXTERNAL NETWORKS. SEMI-STRUCTURED INTERVIEWS WERE USED TO ACHIEVE QUALITATIVE DATA TO OBTAIN A MORE INSIGHT INTO THE ROLE PLAYED BY MARKETING STRATEGIES IN FACILITATING INNOVATION AND THE CHALLENGES INVOLVED IN APPLYING THESE STRATEGIES IN A RESOURCE-LIMITED CONTEXT. THE SPSS AND R WERE USED TO CONDUCT STATISTICAL ANALYSIS IN EXAMINING THE RELATIONSHIPS BETWEEN THE VARIABLES. THE RESULTS SHOWED THAT THERE EXISTED STRONG POSITIVE RELATIONSHIPS BETWEEN ENTREPRENEURIAL MARKETING PRACTICES AND INNOVATION CAPABILITIES, AND CUSTOMER ENGAGEMENT HAD THE GREATEST RELATIONSHIP WITH PRODUCT INNOVATION (0.80) AND TECHNOLOGICAL INNOVATION (0.72). THE REGRESSION SHOWED THAT ENTREPRENEURIAL MARKETING IS A SIGNIFICANT PREDICTOR OF INNOVATION PERFORMANCE, WITH MARKET ORIENTATION AND CUSTOMER ENGAGEMENT AS THE MOST IMPORTANT ONES. ALSO, MODERATION ANALYSIS IN SPSS THROUGH THE PROCESS MACRO DEMONSTRATED THAT GOVERNMENT SUPPORT AND EXTERNAL NETWORKS HAD A SIGNIFICANT MODERATING EFFECT ON THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING AND INNOVATION CAPABILITIES, WHERE EXTERNAL NETWORKS HAD THE HIGHEST MODERATING EFFECT (0.45, P = 0.05). THE RESULTS SUPPORT THE RELEVANCE OF ENTREPRENEURIAL MARKETING AS AN AGENT OF INNOVATION CAPABILITIES IN HIGH-TECH STARTUPS IN EMERGING ECONOMIES.",2025.0,ARCHIVES FOR TECHNICAL SCIENCES,ARCH TECH SCI,10.70102/afts.2025.1834.341,0.0,True,14206,203010454,0,4,
25,,sap_leaf,100,"CORREA V, 2025",THE INFLUENCE OF CAUSAL AND EFFECTUAL ENTREPRENEURSHIP ON THE DIMENSIONS OF ENTREPRENEURIAL MARKETING: AN EXPLORATORY STUDY OF WOMEN ENTREPRENEURS IN BRAZIL,"PURPOSE  ALTHOUGH THE LITERATURE HAS EXAMINED THE RELATIONSHIP BETWEEN ENTREPRENEURSHIP AND ENTREPRENEURIAL MARKETING (EM), THE THEORETICAL INFLUENCE OF THE FOUR DIMENSIONS AND FIVE PRINCIPLES OF CAUSAL AND EFFECTUAL BEHAVIOR ON THE SEVEN DIMENSIONS OF EM REMAINS UNCLEAR. THIS EXPLORATORY STUDY INVESTIGATES HOW THE FOUR CAUSAL ENTREPRENEURSHIP DIMENSIONS AND FIVE EFFECTUAL ENTREPRENEURSHIP PRINCIPLES INFLUENCE THE SEVEN DIMENSIONS OF EM. DESIGN/METHODOLOGY/APPROACH  THIS STUDY EMPLOYS A QUALITATIVE, INTEGRATED, MULTIPLE-CASE STUDY DESIGN. EIGHT BRAZILIAN WOMEN ENTREPRENEURS PARTICIPATED IN THIS STUDY. FINDINGS  WOMEN ENTREPRENEURS LEVERAGE THEIR RESOURCES THROUGH BOTH CAUSAL AND EFFECTUAL BEHAVIORS. HOWEVER, THEY TEND TO INNOVATE AND EXPLORE NEW MARKETS LESS FREQUENTLY. THEIR EFFECTUAL INITIATIVES ARE PARTICULARLY NOTICEABLE IN THEIR PROACTIVE BEHAVIOR. ADDITIONALLY, THERE IS A BALANCED RELATIONSHIP BETWEEN PLANNED AND UNPLANNED PRACTICES WITH RESPECT TO VALUE CREATION AND CUSTOMER ENGAGEMENT. ORIGINALITY/VALUE  THIS STUDY ELUCIDATES THE UNDER-THEORIZED MECHANISMS OF EM BY EXAMINING HOW CAUSAL AND EFFECTUAL BEHAVIORS SHAPE ITS SEVEN DIMENSIONS. IN DOING SO, IT ALLOWS FOR THREE KEY CONTRIBUTIONS TO THE LITERATURE. FIRST, BOTH CAUSAL AND EFFECTUAL BEHAVIORS INFLUENCE EM DIMENSIONS DISTINCTLY, UNDERSCORING THE NEED TO CONSIDER BOTH TYPES FOR A COMPREHENSIVE UNDERSTANDING OF EM. SECOND, THIS STUDY IDENTIFIES WHICH DIMENSIONS OF CAUSAL BEHAVIOR AND WHICH PRINCIPLES OF EFFECTUAL BEHAVIOR MOST STRONGLY AFFECT EACH OF THE SEVEN EM DIMENSIONS, PROVIDING NEW INSIGHTS INTO THEORETICAL AND EMPIRICAL RELATIONSHIPS THAT HAVE NOT YET BEEN EXAMINED. FINALLY, WE PROPOSE FUTURE RESEARCH AGENDAS TO EXPLORE THIS FIELD AND ADDRESS THESE GAPS IN THE LITERATURE.  2026 EMERALD PUBLISHING LIMITED",2025.0,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,,10.1108/IJGE-04-2025-0140,0.0,True,13468,182528459,0,30,
26,,sap_leaf,100,"CHEN YH, 2024, SUSTAINABILITY-BASEL",THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,"THE SOUTHEAST ASIAN NEW IMMIGRANTS FACE SIGNIFICANT BARRIERS IN EMPLOYMENT DUE TO LANGUAGE AND CULTURAL DIFFERENCES, MAKING IT CHALLENGING FOR THEM TO FIND JOBS. CONSEQUENTLY, MANY SOUTHEAST ASIAN IMMIGRANTS HAVE TURNED TO ENTREPRENEURSHIP AS A MEANS TO ACHIEVE ECONOMIC INDEPENDENCE AND CONTRIBUTE TO THEIR FAMILY'S INCOME. THIS STUDY ADOPTS ENTREPRENEURIAL MARKETING (EM) AS A THEORETICAL LENS AND UTILIZES A PROCESS RESEARCH METHODOLOGY, BASED ON SEQUENTIALLY ORDERED EVENTS, TO EXPLORE THE ENTREPRENEURIAL JOURNEY OF IMMIGRANT MICRO AND SMALL TO MEDIUM-SIZED ENTERPRISES (SMES). EMPLOYING PURPOSIVE SAMPLING, TWENTY-TWO SOUTHEAST ASIAN IMMIGRANT ENTREPRENEURS WERE SELECTED FOR IN-DEPTH INTERVIEWS TO ENSURE DATA QUALITY THROUGH MULTIPLE DATA COLLECTION METHODS. THE RESEARCH DEVELOPED A DYNAMIC ADJUSTMENT MODEL AND MANAGEMENT MECHANISMS FOR THE ENTREPRENEURIAL MARKETING OF IMMIGRANT MICRO AND SMES. THESE FINDINGS NOT ONLY BRIDGE THEORETICAL GAPS IN IMMIGRANT ENTREPRENEURSHIP STRATEGY BUT ALSO DEEPEN THE ACADEMIC UNDERSTANDING OF THE DYNAMISM IN ENTREPRENEURIAL MARKETING. PRACTICALLY, THE OUTCOMES ASSIST IMMIGRANT MICRO AND SMALL BUSINESS ENTREPRENEURS IN DEVELOPING OPERATIONAL STRATEGIES AND SERVE AS A REFERENCE FOR GOVERNMENTAL UNITS IN CRAFTING IMMIGRANT POLICIES.",2024.0,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,3.0,True,13380,180151157,0,42,
27,,sap_leaf,100,"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J","THE INTERSECTION OF RESPONSIBLE LEADERSHIP AND ENTREPRENEURIAL MARKETING: THE ROLES OF ETHICAL CLIMATE, EFFECTIVE KNOWLEDGE TRANSFER AND PERSON-ORGANIZATION FIT","PURPOSETHIS STUDY AIMS TO EXPLORE HOW RESPONSIBLE LEADERSHIP (RL) DETERMINES THE TYPE AND EFFECTIVENESS OF ENTREPRENEURIAL MARKETING (EM) ACTIVITIES AND IDENTIFY KEY INTRA-ORGANIZATIONAL CAPABILITIES THAT FACILITATE THIS RELATIONSHIP, WHICH MEANS MOVING FROM THE INTRA- TO THE EXTRA-ORGANIZATIONAL ENVIRONMENT. THIS STUDY ALSO EXAMINES THE MODERATING ROLE OF PERSON-ORGANIZATION FIT (P-O FIT) ON THE IMPACT OF ETHICAL CLIMATE (EC) AND EFFECTIVE KNOWLEDGE TRANSFER (EKT) ON EM.DESIGN/METHODOLOGY/APPROACHUSING A CROSS-SECTIONAL SURVEY, DATA WERE COLLECTED FROM 100 SMALL AND MEDIUM-SIZED ENTERPRISES IN IRAN, FOCUSING ON SCIENTIFIC AND RESEARCH SECTORS. STRUCTURAL EQUATION MODELING WAS USED TO ANALYZE THE MEDIATION EFFECTS OF EC AND EKT ON THE RL-EM RELATIONSHIP, ALONGSIDE THE MODERATING INFLUENCE OF P-O FIT.FINDINGSTHE RESULTS OF THIS STUDY DEMONSTRATE THAT RL SIGNIFICANTLY PROMOTES EM, MEDIATED BY AN EC AND EKT. THE RESULTS ALSO CONFIRM THE SIGNIFICANT POSITIVE EFFECT OF EC ON EKT. FURTHERMORE, P-O FIT ENHANCES THE EFFECTS OF BOTH EC AND EKT ON EM, SUGGESTING THAT RL FOSTERS AN ENVIRONMENT CONDUCIVE TO ETHICAL PRACTICES AND KNOWLEDGE SHARING, WHICH IN TURN DRIVES MARKETING INNOVATION.RESEARCH LIMITATIONS/IMPLICATIONSTHE DIVERSITY IN SIZE, RESOURCES AND ORGANIZATIONAL STRUCTURES AMONG SMALL AND MEDIUM-SIZED ENTERPRISES STUDIED MAY ENHANCE THE GENERALIZABILITY OF THE FINDINGS; HOWEVER, IT MAY ALSO COMPLICATE THE CATEGORIZATION OF DATA AND INCREASE THE NUMBER OF OUTLIER DATA POINTS. FUTURE RESEARCH SHOULD EXPLORE VARIOUS INDUSTRIES AND USE LONGITUDINAL DESIGNS TO BETTER UNDERSTAND THE EVOLVING DYNAMICS OF THESE RELATIONSHIPS.PRACTICAL IMPLICATIONSTHIS STUDY SHOWS THAT RL IS CRUCIAL FOR EM, KNOWLEDGE TRANSFER AND A POSITIVE EC. ORGANIZATIONS SHOULD FOCUS ON EMPLOYEES' PERCEPTIONS OF ETHICS AND FOSTER AN ENVIRONMENT THAT PROMOTES COMMITMENT, TRUST, COMMUNICATION AND DEDICATION. THIS APPROACH AIDS KNOWLEDGE TRANSFER, HELPING IDENTIFY MARKET OPPORTUNITIES, INNOVATE CUSTOMER-ORIENTED SOLUTIONS AND CO-CREATE VALUE, ULTIMATELY BOOSTING MARKET SHARE. FURTHERMORE, ALIGNING INDIVIDUALS WITH ORGANIZATIONAL VALUES ENHANCES KNOWLEDGE TRANSFER AND ETHICAL PRACTICES, DRIVING MARKETING INNOVATION AND INCREASING CUSTOMER SATISFACTION.ORIGINALITY/VALUEIN TURBULENT MARKETS, COMPANIES MUST INTRODUCE QUALITY, RELIABLE PRODUCTS. HOWEVER, SHORTENED PRODUCT LIFE CYCLES AND FASTER NEW PRODUCT INTRODUCTIONS CAN LEAD TO SUPPLY FAILURES WITHOUT NEW MARKETING METHODS. THIS RESEARCH AIMS TO IDENTIFY FACTORS INFLUENCING EM AS AN INNOVATIVE APPROACH THROUGH ORGANIZATIONAL CAPABILITIES. THIS STUDY CONTRIBUTES TO THE LITERATURE BY INTEGRATING RL, EC, KNOWLEDGE TRANSFER AND P-O FIT WITHIN THE EM FRAMEWORK, OFFERING INSIGHTS INTO HOW LEADERSHIP CAN SHAPE EFFECTIVE MARKETING STRATEGIES.",2025.0,SOCIAL RESPONSIBILITY JOURNAL,SOC RESPONSIB J,10.1108/SRJ-01-2025-0008,2.0,True,12834,165791051,0,33,
28,,sap_leaf,100,"LI LY, 2023, SUSTAINABILITY-BASEL","SUSTAINABLE MICRO, SMALL, AND MEDIUM ENTERPRISES: A DEVELOPED MODEL OF ENTREPRENEURIAL MARKETING BEHAVIORS FOR THAILAND'S MSMES","THE MAIN OBJECTIVE OF THIS STUDY IS TO PROPOSE A DEVELOPED MODEL OF ENTREPRENEURIAL MARKETING BEHAVIORS FOR SUSTAINABLE MICRO, SMALL, AND MEDIUM ENTERPRISES (MSMES) IN THAILAND. THIS STUDY AIMS TO CONTRIBUTE TO THE EXISTING LITERATURE ON SUSTAINABLE BUSINESS PRACTICES AND ENTREPRENEURIAL MARKETING BEHAVIORS AFTER A DISASTER BY PROVIDING A FRAMEWORK THAT CAN BE USED FOR FUTURE RESEARCH IN THIS AREA, PARTICULARLY AFTER ECONOMIC TURBULENCE. THE RESEARCH METHOD USED IN THIS STUDY IS QUANTITATIVE. THE STUDY WAS CONDUCTED IN BANGKOK, THAILAND. PRIMARY DATA WERE COLLECTED FROM RESPONDENTS VIA A QUESTIONNAIRE USING A NON-PROBABILITY SAMPLING APPROACH (PURPOSIVE SAMPLING). A TOTAL OF 511 OUT OF 600 ISSUED ONLINE AND PAPER SURVEYS WERE SUCCESSFULLY RETURNED, CONSTITUTING AN 85% RESPONSE RATE. THE PRIMARY DATA WERE ACQUIRED FROM FIRST-HAND SOURCES OF THAI MSMES' BUSINESS OWNERS AND MANAGERS. THE HYPOTHESIS TESTING OF THIS STUDY PROVES THAT ENTREPRENEURIAL MARKETING BEHAVIORS COULD INFLUENCE BUSINESS REBOUND DURING THE COVID PERIOD. THE STUDY ALSO CONCLUDES THAT BUSINESS RESILIENCE PRACTICES MEDIATE OR CARRY THE INFLUENCE OF ENTREPRENEURIAL MARKETING BEHAVIORS ON THE BUSINESS REBOUND.",2023.0,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su151713135,4.0,True,12127,148084865,0,39,
29,,sap_leaf,100,"HANOUN D, 2024",THE MODERATING ROLE OF TECHNOLOGICAL TURBULENCE IN THE EFFECT OF ENTREPRENEURIAL MARKETING ON SMES' PERFORMANCE,"THE GOAL OF THIS RESEARCH IS TO EXPLORE HOW ENTREPRENEURIAL MARKETING AFFECTS SMALL AND MEDIUM ENTERPRISES' PERFORMANCE IN JORDAN AND TO UNDERSTAND HOW TECHNOLOGICAL TURBULENCE CAN MEDIATE THE CORRELATION BETWEEN ENTREPRENEURIAL MARKETING AND SMALL AND MEDIUM ENTERPRISES' PERFORMANCE. THE RESEARCH CAN BE CLASSIFIED AS QUANTITATIVE, DESCRIPTIVE, AND CAUSE-EFFECT. MOREOVER, IT USES CONVENIENCE SAMPLING AND A CROSS-SECTION APPROACH TO GATHER DATA THROUGH A SURVEY. THE DATA WERE GATHERED FROM 211 OWNERS/MANAGERS, WHO WORK IN JORDANIAN SMES, PARTICULARLY THOSE WHO WORKED IN THE TECHNOLOGY INDUSTRY. DATA WERE ENTERED USING SPSS-25, AND THEN THE VALIDITY, NORMALITY, AND RELIABILITY WERE CHECKED BEFORE TESTING HYPOTHESES. THE FINDINGS SHOW THAT ENTREPRENEURIAL MARKETING AFFECTS SMALL AND MEDIUM ENTERPRISES' PERFORMANCE, WHERE STAKEHOLDER ORIENTATION IS RATED THE HIGHEST EFFECT, FOLLOWED BY OPPORTUNITY FOCUS AND VALUE CREATION RESPECTIVELY. CALCULATED RISK-TAKING, PRO-ACTIVENESS, RESOURCE LEVERAGING, INNOVATIVENESS, AND NETWORKING DO NOT AFFECT SMALL AND MEDIUM ENTERPRISES PERFORMANCE SIGNIFICANTLY. FURTHERMORE, RESULTS SHOWED THAT TECHNOLOGICAL TURBULENCE DID NOT ACT AS A MODERATE CORRELATION BETWEEN ENTREPRENEURIAL MARKETING AND SMALL AND MEDIUM ENTERPRISES' PERFORMANCE.  2024, WORLD SCIENTIFIC AND ENGINEERING ACADEMY AND SOCIETY. ALL RIGHTS RESERVED.",2024.0,WSEAS TRANSACTIONS ON BUSINESS AND ECONOMICS,,10.37394/23207.2024.21.214,0.0,True,8311,69773358,0,57,
30,,sap_leaf,100,"ALKUFAHY A, 2023",THE MODERATING ROLE OF SOCIAL MEDIA MARKETING ON THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING STRATEGY AND BUSINESS OUTCOMES: AN EMPIRICAL STUDY IN SMES IN JORDAN,"THE CURRENT MARKETING METHODS HAVE CHANGED RESULTING IN EMERGING MARKETING ACTIVITIES AND TOOLS THAT CONTRIBUTE TO BUSINESS DEVELOPMENT AND SUCCESS. THUS, THE KEY AIM OF THIS STUDY IS TO EXAMINE THE EFFECT OF ENTREPRENEURIAL MARKETING STRATEGIES ON BUSINESS OUTCOMES OF SMALL AND MEDIUM ENTERPRISES (SMES) IN JORDAN BY EXAMINING THE MODERATION ROLE OF SOCIAL MEDIA MARKETING. THE STUDY APPLIED A QUANTITATIVE RESEARCH APPROACH BY TARGETING A SAMPLE OF 321 SMES, OWNERS, AND MANAGERS TO PARTICIPATE IN THIS STUDY USING A RANDOM SAMPLING APPROACH THROUGH A SURVEY INSTRUMENT THAT HAS BEEN DISTRIBUTED FOR THE PRIMARY DATA COLLECTION METHOD. THE RESULTS FOUND THROUGH STRUCTURAL EQUATION MODELING SEM SIGNIFICANT POSITIVE EFFECTS OF THE DIFFERENT ENTREPRENEURIAL MARKETING STRATEGIES (VALUE CREATION, CUSTOMER INTENSITY, OPPORTUNITY FOCUS, AND INNOVATIVENESS) ON THE BUSINESS OUTCOMES OF SMES. FURTHER, SOCIAL MEDIA MARKETING ALSO MODERATED THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING STRATEGY AND BUSINESS OUTCOMES. THE DISCUSSIONS CONFIRMED THE KEY ROLE OF THESE STRATEGIES TO ACHIEVE THE BUSINESS GOALS OF THE SMES. THE STUDY IMPLICATIONS ARE RELATED TO THE THEORY AND PRACTICE OF ENTREPRENEURIAL MARKETING STRATEGIES WITH INTEGRATION THE OF SOCIAL MEDIA MARKETING TOOLS FOR GREATER SOURCES OF COMPETITIVENESS AND MARKET POSITIONING.  2023, SUCCESS CULTURE PRESS. ALL RIGHTS RESERVED.",2023.0,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,,10.33168/JSMS.2023.0418,4.0,True,7961,64049800,0,23,
31,,sap_leaf,100,"ENTSMINGER JS, 2024, J RES MARK ENTREP","ENTREPRENEURIAL MARKETING STRATEGIES, RESOURCES AND SOCIAL DISADVANTAGE: EXPLORING THE ROLE OF RESOURCES AND MINORITY STATUS AMONG US AGROFOOD ENTERPRISES","PURPOSETHIS PAPER AIMS TO INVESTIGATE ASSOCIATIONS BETWEEN FIRM RESOURCES AND RELIANCE ON ENTREPRENEURIAL MARKETING (EM) CHANNELS AMONG AGROFOOD VENTURES. IT ACCOUNTS FOR AGROPRENEUR GENDER AND RACIAL/ETHNIC STATUS IN THE CONTEXT OF MARKETING CHANNEL PORTFOLIO COMPOSITION. THE AUTHORS EXAMINE THE ESTABLISHED ASSUMPTION THAT RESOURCE LIMITATIONS DRIVE EM AND WHETHER SOCIALLY DISADVANTAGED STATUS OF AGROPRENEURS IS ASSOCIATED WITH MARKETING STRATEGY BEYOND STANDARD RESOURCING MEASURES.DESIGN/METHODOLOGY/APPROACHUSING 2015 LOCAL FOODS MARKETING PRACTICES SURVEY DATA, THE AUTHORS APPLY LINEAR REGRESSION TO INVESTIGATE DIFFERENCES IN THE USE OF EM CHANNELS, ACCOUNTING FOR RESOURCES, SOCIAL STATUS AND OTHER FACTORS.FINDINGSLIMITED-RESOURCE VENTURES RELY MORE ON CONSUMER-ORIENTED CHANNELS THAT REQUIRE EM PRACTICES. SOCIALLY DISADVANTAGED ENTREPRENEURS FAVOR THESE CHANNELS, EVEN WHEN ACCOUNTING FOR RESOURCES. NOTABLY, VENTURES HEADED BY MEN OF COLOR RELY MORE ON THE MOST CUSTOMER-CENTRIC LOCAL FOODS MARKETING CHANNEL.RESEARCH LIMITATIONS/IMPLICATIONSFUTURE RESEARCH SHOULD INVESTIGATE HOW SOCIAL AND HUMAN CAPITAL INFLUENCES THE USE OF EM.PRACTICAL IMPLICATIONSENTREPRENEURIAL SUPPORT POLICY AND PRACTICE FOR AGROPRENEURS SHOULD BE CAUTIOUS ABOUT THE ""DOUBLE-BURDEN"" FOLK THEOREM OF INTERSECTIONAL DISADVANTAGE AND REVIEW HOW TO BEST DIRECT RESOURCES ON EM TO GROUPS MOST LIKELY TO BENEFIT.ORIGINALITY/VALUETHIS PAPER USES A UNIQUE, RESTRICTED, NATION-WIDE, FEDERAL DATA SET TO EXAMINE RELATIONSHIPS BETWEEN RESOURCE ENDOWMENTS, SOCIAL STATUS AND THE COMPOSITION OF AGROFOOD ENTERPRISES' MARKETING CHANNEL PORTFOLIOS. TO THE BEST OF THE AUTHORS' KNOWLEDGE, IT IS THE FIRST TO INCLUDE RACIAL- AND ETHNIC-MINORITY STATUS OF AGROPRENEURS AND TO ACCOUNT FOR INTERSECTIONALITY WITH GENDER.",2024.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2023-0033,1.0,True,6711,45603620,0,30,
